first,second,third
gar,nichts,von
nichts,von,den
von,den,anderen
den,anderen,welten
anderen,welten,kennen
welten,kennen,beschämt
kennen,beschämt,dass
beschämt,dass,sie
dass,sie,sich
sie,sich,selbst
sich,selbst,mit
selbst,mit,einer
mit,einer,so
einer,so,einfallslosen
so,einfallslosen,lüge
einfallslosen,lüge,enttarnt
lüge,enttarnt,hatte
enttarnt,hatte,hustete
hatte,hustete,sie
hustete,sie,zwei
sie,zwei,oder
zwei,oder,drei
oder,drei,mal
drei,mal,damit
mal,damit,sich
damit,sich,der
sich,der,kleine
der,kleine,prinz
kleine,prinz,schuldig
prinz,schuldig,fühlte
schuldig,fühlte,dieser
fühlte,dieser,wandschirm
dieser,wandschirm,ich
wandschirm,ich,wollte
ich,wollte,ihn
wollte,ihn,eben
ihn,eben,holen
eben,holen,gehen
holen,gehen,aber
gehen,aber,sie
aber,sie,sprachen
sie,sprachen,mit
sprachen,mit,mir
mit,mir,wieder
mir,wieder,hatte
wieder,hatte,sie
hatte,sie,sich
sie,sich,gezwungen
sich,gezwungen,zu
gezwungen,zu,husten
zu,husten,um
husten,um,ihm
um,ihm,ein
ihm,ein,schlechtes
ein,schlechtes,gewissen
schlechtes,gewissen,zu
gewissen,zu,machen
zu,machen,so
machen,so,hatte
so,hatte,der
hatte,der,kleine
der,kleine,prinz
kleine,prinz,obwohl
prinz,obwohl,er
obwohl,er,durch
er,durch,seine
durch,seine,liebe
seine,liebe,guten
liebe,guten,willens
guten,willens,war
willens,war,rasch
war,rasch,an
rasch,an,ihr
an,ihr,gezweifelt
ihr,gezweifelt,er
gezweifelt,er,hatte
er,hatte,unwichtige
hatte,unwichtige,worte
unwichtige,worte,allzu
worte,allzu,ernst
allzu,ernst,genommen
ernst,genommen,und
genommen,und,war
und,war,dabei
war,dabei,sehr
dabei,sehr,unglücklich
sehr,unglücklich,geworden
unglücklich,geworden,ich
geworden,ich,hätte
ich,hätte,nicht
hätte,nicht,auf
nicht,auf,sie
auf,sie,hören
sie,hören,sollen
hören,sollen,vertraute
sollen,vertraute,er
vertraute,er,mir
er,mir,eines
mir,eines,tages
eines,tages,an
tages,an,auf
an,auf,blumen
auf,blumen,sollte
blumen,sollte,man
sollte,man,niemals
man,niemals,hören
niemals,hören,man
hören,man,muss
man,muss,sie
muss,sie,anschauen
sie,anschauen,und
anschauen,und,einatmen
und,einatmen,meine
einatmen,meine,ließ
meine,ließ,meinen
ließ,meinen,planeten
meinen,planeten,duften
planeten,duften,aber
duften,aber,ich
aber,ich,konnte
ich,konnte,mich
konnte,mich,nicht
mich,nicht,darüber
nicht,darüber,freuen
darüber,freuen,diese
freuen,diese,geschichte
diese,geschichte,mit
geschichte,mit,den
mit,den,krallen
den,krallen,die
krallen,die,mich
die,mich,derart
mich,derart,zornig
derart,zornig,gemacht
zornig,gemacht,hatte
gemacht,hatte,hätte
hatte,hätte,mir
hätte,mir,eigentlich
mir,eigentlich,zu
eigentlich,zu,herzen
zu,herzen,gehen
herzen,gehen,sollen
gehen,sollen,und
sollen,und,weiter
und,weiter,vertraute
weiter,vertraute,er
vertraute,er,mir
er,mir,an
mir,an,ich
an,ich,war
ich,war,nicht
war,nicht,in
nicht,in,der
in,der,lage
der,lage,es
lage,es,zu
es,zu,verstehen
zu,verstehen,ich
verstehen,ich,hätte
ich,hätte,sie
hätte,sie,nach
sie,nach,ihren
nach,ihren,taten
ihren,taten,und
taten,und,nicht
und,nicht,nach
nicht,nach,ihren
nach,ihren,worten
ihren,worten,beurteilen
worten,beurteilen,sollen
beurteilen,sollen,sie
sollen,sie,spendete
sie,spendete,mir
spendete,mir,duft
mir,duft,sie
duft,sie,strahlte
sie,strahlte,für
strahlte,für,mich
für,mich,niemals
mich,niemals,hätte
niemals,hätte,ich
hätte,ich,fliehen
ich,fliehen,dürfen
fliehen,dürfen,hinter
dürfen,hinter,den
hinter,den,armseligen
den,armseligen,boshaftigkeiten
armseligen,boshaftigkeiten,hätte
boshaftigkeiten,hätte,ich
hätte,ich,ihre
ich,ihre,zärtlich
ihre,zärtlich,keit
zärtlich,keit,erkennen
keit,erkennen,müssen
erkennen,müssen,blumen
müssen,blumen,sind
blumen,sind,voller
sind,voller,widersprüche
voller,widersprüche,aber
widersprüche,aber,ich
aber,ich,war
ich,war,zu
war,zu,jung
zu,jung,um
jung,um,sie
um,sie,lieben
sie,lieben,zu
lieben,zu,können
zu,können,ich
können,ich,glaube
ich,glaube,für
glaube,für,seine
für,seine,flucht
seine,flucht,diente
flucht,diente,ihm
diente,ihm,ein
ihm,ein,schwarm
ein,schwarm,wilder
schwarm,wilder,zugvögel
wilder,zugvögel,am
zugvögel,am,tag
am,tag,seiner
tag,seiner,abreise
seiner,abreise,räumte
abreise,räumte,er
räumte,er,seinen
er,seinen,planeten
seinen,planeten,auf
planeten,auf,die
auf,die,noch
die,noch,aktiven
noch,aktiven,vulkane
aktiven,vulkane,fegte
vulkane,fegte,er
fegte,er,sorgfältig
er,sorgfältig,sauber
sorgfältig,sauber,er
sauber,er,besaß
er,besaß,zwei
besaß,zwei,aktive
zwei,aktive,vulkane
aktive,vulkane,die
vulkane,die,waren
die,waren,nützlich
waren,nützlich,um
nützlich,um,sich
um,sich,sein
sich,sein,frühstück
sein,frühstück,aufzuwärmen
frühstück,aufzuwärmen,er
aufzuwärmen,er,besaß
er,besaß,auch
besaß,auch,einen
auch,einen,erloschenen
einen,erloschenen,vulkan
erloschenen,vulkan,aber
vulkan,aber,er
aber,er,sagte
er,sagte,sich
sagte,sich,man
sich,man,weiß
man,weiß,ja
weiß,ja,nie
ja,nie,so
nie,so,fegte
so,fegte,er
fegte,er,auch
er,auch,den
auch,den,erloschenen
den,erloschenen,vulkan
erloschenen,vulkan,wenn
vulkan,wenn,vulkane
wenn,vulkane,sauber
vulkane,sauber,gefegt
sauber,gefegt,sind
gefegt,sind,brennen
sind,brennen,sie
brennen,sie,nur
sie,nur,ganz
nur,ganz,leicht
ganz,leicht,und
leicht,und,gleichmäßig
und,gleichmäßig,ohne
gleichmäßig,ohne,auszubrechen
ohne,auszubrechen,vulkanische
auszubrechen,vulkanische,ausbrüche
vulkanische,ausbrüche,sind
ausbrüche,sind,so
sind,so,wie
so,wie,kaminfeuer
wie,kaminfeuer,wir
kaminfeuer,wir,auf
wir,auf,der
auf,der,erde
der,erde,sind
erde,sind,viel
sind,viel,zu
viel,zu,klein
zu,klein,um
klein,um,unsere
um,unsere,vulkane
unsere,vulkane,abzufegen
vulkane,abzufegen,darum
abzufegen,darum,bereiten
darum,bereiten,sie
bereiten,sie,uns
sie,uns,so
uns,so,viele
so,viele,sorgen
viele,sorgen,auch
sorgen,auch,die
auch,die,letzten
die,letzten,triebe
letzten,triebe,der
triebe,der,affenbrotbäume
der,affenbrotbäume,riss
affenbrotbäume,riss,der
riss,der,kleine
der,kleine,prinz
kleine,prinz,betrübt
prinz,betrübt,heraus
betrübt,heraus,er
heraus,er,dachte
er,dachte,er
dachte,er,würde
er,würde,nie
würde,nie,wiederkommen
nie,wiederkommen,aber
wiederkommen,aber,all
aber,all,diese
all,diese,vertrauten
diese,vertrauten,handgriffe
vertrauten,handgriffe,erschienen
handgriffe,erschienen,ihm
erschienen,ihm,an
ihm,an,diesem
an,diesem,morgen
diesem,morgen,sehr
morgen,sehr,angenehm
sehr,angenehm,und
angenehm,und,als
und,als,er
als,er,die
er,die,blume
die,blume,zum
blume,zum,letzten
zum,letzten,mal
letzten,mal,goss
mal,goss,und
goss,und,sie
und,sie,unter
sie,unter,ihre
unter,ihre,schützende
ihre,schützende,glasglocke
schützende,glasglocke,stellen
glasglocke,stellen,wollte
stellen,wollte,da
wollte,da,überkam
da,überkam,ihn
überkam,ihn,das
ihn,das,bedürfnis
das,bedürfnis,zu
bedürfnis,zu,weinen
zu,weinen,adieu
weinen,adieu,sagte
adieu,sagte,er
sagte,er,zu
er,zu,der
zu,der,blume
der,blume,aber
blume,aber,sie
aber,sie,antwortete
sie,antwortete,ihm
antwortete,ihm,nicht
ihm,nicht,adieu
nicht,adieu,wiederholte
adieu,wiederholte,er
wiederholte,er,die
er,die,blume
die,blume,musste
blume,musste,husten
musste,husten,aber
husten,aber,das
aber,das,lag
das,lag,nicht
lag,nicht,an
nicht,an,ihrer
an,ihrer,erkältung
ihrer,erkältung,ich
erkältung,ich,bin
ich,bin,dumm
bin,dumm,gewesen
dumm,gewesen,sagte
gewesen,sagte,sie
sagte,sie,schließlich
sie,schließlich,bitte
schließlich,bitte,verzeih
bitte,verzeih,mir
verzeih,mir,versuche
mir,versuche,glücklich
versuche,glücklich,zu
glücklich,zu,sein
zu,sein,er
sein,er,war
er,war,überrascht
war,überrascht,darüber
überrascht,darüber,keine
darüber,keine,vorwürfe
keine,vorwürfe,zu
vorwürfe,zu,hören
zu,hören,er
hören,er,blieb
er,blieb,ganz
blieb,ganz,erstaunt
ganz,erstaunt,stehen
erstaunt,stehen,die
stehen,die,glasglocke
die,glasglocke,in
glasglocke,in,den
in,den,händen
den,händen,diese
händen,diese,ruhige
diese,ruhige,liebenswürdigkeit
ruhige,liebenswürdigkeit,verstand
liebenswürdigkeit,verstand,er
verstand,er,nicht
er,nicht,aber
nicht,aber,ja
aber,ja,ich
ja,ich,liebe
ich,liebe,dich
liebe,dich,sagte
dich,sagte,die
sagte,die,blume
die,blume,ich
blume,ich,bin
ich,bin,schuld
bin,schuld,dass
schuld,dass,du
dass,du,es
du,es,nicht
es,nicht,bemerkt
nicht,bemerkt,hast
bemerkt,hast,es
hast,es,ist
es,ist,nicht
ist,nicht,wichtig
nicht,wichtig,du
wichtig,du,warst
du,warst,ebenso
warst,ebenso,dumm
ebenso,dumm,wie
dumm,wie,ich
wie,ich,versuche
ich,versuche,glücklich
versuche,glücklich,zu
glücklich,zu,sein
zu,sein,leg
sein,leg,die
leg,die,glasglocke
die,glasglocke,weg
glasglocke,weg,ich
weg,ich,möchte
ich,möchte,sie
möchte,sie,nicht
sie,nicht,mehr
nicht,mehr,aber
mehr,aber,der
aber,der,wind
der,wind,so
wind,so,erkältet
so,erkältet,bin
erkältet,bin,ich
bin,ich,gar
ich,gar,nicht
gar,nicht,der
nicht,der,nächtliche
der,nächtliche,wind
nächtliche,wind,wird
wind,wird,mir
wird,mir,gut
mir,gut,tun
gut,tun,ich
tun,ich,bin
ich,bin,eine
bin,eine,blume
eine,blume,aber
blume,aber,die
aber,die,insekten
die,insekten,ich
insekten,ich,muss
ich,muss,schon
muss,schon,zwei
schon,zwei,oder
zwei,oder,drei
oder,drei,raupen
drei,raupen,aushalten
raupen,aushalten,wenn
aushalten,wenn,ich
wenn,ich,die
ich,die,schmetterlinge
die,schmetterlinge,kennenlernen
schmetterlinge,kennenlernen,will
kennenlernen,will,sie
will,sie,sollen
sie,sollen,so
sollen,so,wunderschön
so,wunderschön,sein
wunderschön,sein,wer
sein,wer,wird
wer,wird,mich
wird,mich,ansonsten
mich,ansonsten,besuchen
ansonsten,besuchen,du
besuchen,du,wirst
du,wirst,weit
wirst,weit,fort
weit,fort,sein
fort,sein,was
sein,was,die
was,die,großen
die,großen,tiere
großen,tiere,angeht
tiere,angeht,habe
angeht,habe,ich
habe,ich,keine
ich,keine,angst
keine,angst,ich
angst,ich,habe
ich,habe,meine
habe,meine,dornen
meine,dornen,leichtgläubig
dornen,leichtgläubig,zeigte
leichtgläubig,zeigte,sie
zeigte,sie,ihre
sie,ihre,vier
ihre,vier,dornen
vier,dornen,dann
dornen,dann,fügte
dann,fügte,sie
fügte,sie,hinzu
sie,hinzu,trödel
hinzu,trödel,nicht
trödel,nicht,so
nicht,so,rum
so,rum,das
rum,das,ist
das,ist,ärgerlich
ist,ärgerlich,du
ärgerlich,du,hast
du,hast,entschieden
hast,entschieden,fortzugehen
entschieden,fortzugehen,mach
fortzugehen,mach,dich
mach,dich,auf
dich,auf,den
auf,den,weg
den,weg,sie
weg,sie,wollte
sie,wollte,nicht
wollte,nicht,dass
nicht,dass,er
dass,er,sie
er,sie,weinen
sie,weinen,sieht
weinen,sieht,sie
sieht,sie,war
sie,war,eine
war,eine,so
eine,so,stolze
so,stolze,blume
stolze,blume,er
blume,er,befand
er,befand,sich
befand,sich,in
sich,in,der
in,der,gegend
der,gegend,der
gegend,der,asteroiden
der,asteroiden,und
asteroiden,und,so
und,so,begann
so,begann,er
begann,er,ihnen
er,ihnen,einen
ihnen,einen,besuch
einen,besuch,abzustatten
besuch,abzustatten,um
abzustatten,um,sich
um,sich,zu
sich,zu,beschäftigen
zu,beschäftigen,und
beschäftigen,und,sich
und,sich,schlau
sich,schlau,zu
schlau,zu,machen
zu,machen,auf
machen,auf,dem
auf,dem,ersten
dem,ersten,lebte
ersten,lebte,ein
lebte,ein,könig
ein,könig,der
könig,der,könig
der,könig,saß
könig,saß,in
saß,in,purpur
in,purpur,und
purpur,und,hermelin
und,hermelin,gekleidet
hermelin,gekleidet,auf
gekleidet,auf,einem
auf,einem,thron
einem,thron,der
thron,der,schlicht
der,schlicht,aber
schlicht,aber,majestätisch
aber,majestätisch,war
majestätisch,war,ah
war,ah,ein
ah,ein,untertan
ein,untertan,freute
untertan,freute,er
freute,er,sich
er,sich,als
sich,als,er
als,er,den
er,den,kleinen
den,kleinen,prinzen
kleinen,prinzen,sah
prinzen,sah,und
sah,und,der
und,der,kleine
der,kleine,prinz
kleine,prinz,fragte
prinz,fragte,wie
fragte,wie,kommt
wie,kommt,es
kommt,es,dass
es,dass,sie
dass,sie,mich
sie,mich,kennen
mich,kennen,sie
kennen,sie,haben
sie,haben,mich
haben,mich,noch
mich,noch,nie
noch,nie,zuvor
nie,zuvor,gesehen
zuvor,gesehen,er
gesehen,er,wusste
er,wusste,nicht
wusste,nicht,dass
nicht,dass,die
dass,die,welt
die,welt,für
welt,für,könige
für,könige,sehr
könige,sehr,einfach
sehr,einfach,ist
einfach,ist,alle
ist,alle,menschen
alle,menschen,sind
menschen,sind,untertanen
sind,untertanen,komm
untertanen,komm,mal
komm,mal,näher
mal,näher,heran
näher,heran,damit
heran,damit,ich
damit,ich,dich
ich,dich,besser
dich,besser,sehen
besser,sehen,kann
sehen,kann,sagte
kann,sagte,der
sagte,der,könig
der,könig,ganz
könig,ganz,stolz
ganz,stolz,darauf
stolz,darauf,jemandes
darauf,jemandes,könig
jemandes,könig,sein
könig,sein,zu
sein,zu,können
zu,können,der
können,der,kleine
der,kleine,prinz
kleine,prinz,schaute
prinz,schaute,sich
schaute,sich,nach
sich,nach,einer
nach,einer,sitzgelegenheit
einer,sitzgelegenheit,um
sitzgelegenheit,um,doch
um,doch,der
doch,der,herrliche
der,herrliche,hermelinmantel
herrliche,hermelinmantel,nahm
hermelinmantel,nahm,den
nahm,den,ganzen
den,ganzen,planten
ganzen,planten,ein
planten,ein,so
ein,so,blieb
so,blieb,er
blieb,er,stehen
er,stehen,doch
stehen,doch,vor
doch,vor,müdigkeit
vor,müdigkeit,musste
müdigkeit,musste,er
musste,er,gähnen
er,gähnen,es
gähnen,es,gehört
es,gehört,sich
gehört,sich,nicht
sich,nicht,in
nicht,in,gegenwart
in,gegenwart,eines
gegenwart,eines,königs
eines,königs,zu
königs,zu,gähnen
zu,gähnen,ermahnte
gähnen,ermahnte,ihn
ermahnte,ihn,der
ihn,der,monarch
der,monarch,ich
monarch,ich,untersage
ich,untersage,es
untersage,es,dir
es,dir,ich
dir,ich,kann
ich,kann,nichts
kann,nichts,dagegen
nichts,dagegen,machen
dagegen,machen,antwortete
machen,antwortete,der
antwortete,der,kleine
der,kleine,prinz
kleine,prinz,ganz
prinz,ganz,verwirrt
ganz,verwirrt,ich
verwirrt,ich,habe
ich,habe,eine
habe,eine,lange
eine,lange,reise
lange,reise,hinter
reise,hinter,mir
hinter,mir,und
mir,und,kam
und,kam,nicht
kam,nicht,zum
nicht,zum,schlafen
zum,schlafen,dann
schlafen,dann,befehle
dann,befehle,ich
befehle,ich,dir
ich,dir,zu
dir,zu,gähnen
zu,gähnen,sagte
gähnen,sagte,der
sagte,der,könig
der,könig,zu
könig,zu,ihm
zu,ihm,seit
ihm,seit,jahren
seit,jahren,habe
jahren,habe,ich
habe,ich,niemanden
ich,niemanden,mehr
niemanden,mehr,gähnen
mehr,gähnen,gesehen
gähnen,gesehen,gähnen
gesehen,gähnen,ist
gähnen,ist,eine
ist,eine,wahre
eine,wahre,seltenheit
wahre,seltenheit,für
seltenheit,für,mich
für,mich,also
mich,also,los
also,los,gähne
los,gähne,noch
gähne,noch,mal
noch,mal,dies
mal,dies,ist
dies,ist,ein
ist,ein,befehl
ein,befehl,das
befehl,das,schüchtert
das,schüchtert,mich
schüchtert,mich,ein
mich,ein,ich
ein,ich,kann
ich,kann,nicht
kann,nicht,mehr
nicht,mehr,erwiderte
mehr,erwiderte,der
erwiderte,der,prinz
der,prinz,und
prinz,und,wurde
und,wurde,ganz
wurde,ganz,rot
ganz,rot,hm
rot,hm,hm
hm,hm,machte
hm,machte,der
machte,der,könig
der,könig,dann
könig,dann,befehle
dann,befehle,ich
befehle,ich,dir
ich,dir,mal
dir,mal,zu
mal,zu,gähnen
zu,gähnen,und
gähnen,und,mal
und,mal,zu
mal,zu,er
zu,er,stammelte
er,stammelte,ein
stammelte,ein,wenig
ein,wenig,und
wenig,und,schien
und,schien,verärgert
schien,verärgert,denn
verärgert,denn,dem
denn,dem,könig
dem,könig,lag
könig,lag,besonders
lag,besonders,daran
besonders,daran,dass
daran,dass,seine
dass,seine,autorität
seine,autorität,geschätzt
autorität,geschätzt,würde
geschätzt,würde,ungehorsam
würde,ungehorsam,tolerierte
ungehorsam,tolerierte,er
tolerierte,er,nicht
er,nicht,er
nicht,er,war
er,war,ein
war,ein,strenger
ein,strenger,monarch
strenger,monarch,doch
monarch,doch,weil
doch,weil,er
weil,er,sehr
er,sehr,gütig
sehr,gütig,war
gütig,war,gab
war,gab,er
gab,er,vernünftige
er,vernünftige,befehle
vernünftige,befehle,wenn
befehle,wenn,ich
wenn,ich,den
ich,den,befehl
den,befehl,erteile
befehl,erteile,sagte
erteile,sagte,er
sagte,er,häufig
er,häufig,dass
häufig,dass,sich
dass,sich,ein
sich,ein,general
ein,general,in
general,in,einen
in,einen,meeresvogel
einen,meeresvogel,verwandeln
meeresvogel,verwandeln,soll
verwandeln,soll,und
soll,und,der
und,der,general
der,general,gehorcht
general,gehorcht,nicht
gehorcht,nicht,so
nicht,so,wäre
so,wäre,es
wäre,es,nicht
es,nicht,sein
nicht,sein,fehler
sein,fehler,es
fehler,es,wäre
es,wäre,mein
wäre,mein,fehler
mein,fehler,darf
fehler,darf,ich
darf,ich,mich
ich,mich,setzen
mich,setzen,fragte
setzen,fragte,der
fragte,der,kleine
der,kleine,prinz
kleine,prinz,schüchtern
prinz,schüchtern,ich
schüchtern,ich,befehle
ich,befehle,dir
befehle,dir,dich
dir,dich,zu
dich,zu,setzen
zu,setzen,antwortete
setzen,antwortete,der
antwortete,der,könig
der,könig,und
könig,und,rückte
und,rückte,würdevoll
rückte,würdevoll,einen
würdevoll,einen,zipfel
einen,zipfel,seines
zipfel,seines,hermelinmantels
seines,hermelinmantels,zurecht
hermelinmantels,zurecht,aber
zurecht,aber,der
aber,der,kleine
der,kleine,prinz
kleine,prinz,wunderte
prinz,wunderte,sich
wunderte,sich,der
sich,der,planet
der,planet,war
planet,war,winzig
war,winzig,über
winzig,über,wen
über,wen,konnte
wen,konnte,der
konnte,der,könig
der,könig,denn
könig,denn,regieren
denn,regieren,hoheit
regieren,hoheit,sagte
hoheit,sagte,er
sagte,er,verzeiht
er,verzeiht,mir
verzeiht,mir,wenn
mir,wenn,ich
wenn,ich,sie
ich,sie,unterbreche
sie,unterbreche,ich
unterbreche,ich,befehle
ich,befehle,dir
befehle,dir,mich
dir,mich,zu
mich,zu,unterbrechen
zu,unterbrechen,sagte
unterbrechen,sagte,der
sagte,der,könig
der,könig,eilig
könig,eilig,hoheit
eilig,hoheit,worüber
hoheit,worüber,herrscht
worüber,herrscht,ihr
herrscht,ihr,über
ihr,über,alles
über,alles,antwortete
alles,antwortete,schlichtweg
antwortete,schlichtweg,der
schlichtweg,der,könig
der,könig,über
könig,über,alles
über,alles,mit
alles,mit,einer
mit,einer,taktvollen
einer,taktvollen,geste
taktvollen,geste,zeigte
geste,zeigte,der
zeigte,der,könig
der,könig,auf
könig,auf,seinen
auf,seinen,planeten
seinen,planeten,auf
planeten,auf,die
auf,die,anderen
die,anderen,planeten
anderen,planeten,und
planeten,und,die
und,die,sterne
die,sterne,über
sterne,über,das
über,das,alles
das,alles,sagte
alles,sagte,der
sagte,der,kleine
der,kleine,prinz
kleine,prinz,über
prinz,über,das
über,das,alles
das,alles,antwortete
alles,antwortete,der
antwortete,der,könig
der,könig,denn
könig,denn,er
denn,er,war
er,war,nicht
war,nicht,nur
nicht,nur,ein
nur,ein,absoluter
ein,absoluter,monarch
absoluter,monarch,sondern
monarch,sondern,ein
sondern,ein,universeller
ein,universeller,und
universeller,und,auch
und,auch,die
auch,die,sterne
die,sterne,gehorchen
sterne,gehorchen,euch
gehorchen,euch,natürlich
euch,natürlich,sagte
natürlich,sagte,der
sagte,der,könig
der,könig,sie
könig,sie,gehorchen
sie,gehorchen,aufs
gehorchen,aufs,wort
aufs,wort,ich
wort,ich,toleriere
ich,toleriere,keinen
toleriere,keinen,ungehorsam
keinen,ungehorsam,der
ungehorsam,der,kleine
der,kleine,prinz
kleine,prinz,bewunderte
prinz,bewunderte,solch
bewunderte,solch,eine
solch,eine,große
eine,große,macht
große,macht,wenn
macht,wenn,er
wenn,er,sie
er,sie,selbst
sie,selbst,besäße
selbst,besäße,könnte
besäße,könnte,er
könnte,er,nicht
er,nicht,nur
nicht,nur,vierundvierzig
nur,vierundvierzig,sondern
vierundvierzig,sondern,zweiundsiebzig
sondern,zweiundsiebzig,oder
zweiundsiebzig,oder,gar
oder,gar,hundert
gar,hundert,oder
hundert,oder,zweihundert
oder,zweihundert,sonnenuntergänge
zweihundert,sonnenuntergänge,an
sonnenuntergänge,an,einem
an,einem,tag
einem,tag,sehen
tag,sehen,ohne
sehen,ohne,nur
ohne,nur,ein
nur,ein,einziges
ein,einziges,mal
einziges,mal,seinen
mal,seinen,stuhl
seinen,stuhl,zu
stuhl,zu,verrücken
zu,verrücken,und
verrücken,und,weil
und,weil,er
weil,er,ein
er,ein,wenig
ein,wenig,traurig
wenig,traurig,war
traurig,war,beim
war,beim,gedanken
beim,gedanken,an
gedanken,an,seinen
an,seinen,verlassenen
seinen,verlassenen,planeten
verlassenen,planeten,fasste
planeten,fasste,er
fasste,er,mut
er,mut,und
mut,und,bat
und,bat,den
bat,den,könig
den,könig,um
könig,um,einen
um,einen,gefallen
einen,gefallen,ich
gefallen,ich,würde
ich,würde,so
würde,so,gerne
so,gerne,einen
gerne,einen,sonnenuntergang
einen,sonnenuntergang,sehen
sonnenuntergang,sehen,macht
sehen,macht,mir
macht,mir,die
mir,die,freude
die,freude,befehlt
freude,befehlt,der
befehlt,der,sonne
der,sonne,unterzugehen
sonne,unterzugehen,wenn
unterzugehen,wenn,ich
wenn,ich,einem
ich,einem,general
einem,general,den
general,den,befehl
den,befehl,geben
befehl,geben,würde
geben,würde,wie
würde,wie,ein
wie,ein,schmetterling
ein,schmetterling,von
schmetterling,von,einer
von,einer,blume
einer,blume,zur
blume,zur,nächsten
zur,nächsten,zu
nächsten,zu,fliegen
zu,fliegen,oder
fliegen,oder,eine
oder,eine,tragödie
eine,tragödie,zu
tragödie,zu,verfassen
zu,verfassen,oder
verfassen,oder,sich
oder,sich,in
sich,in,einen
in,einen,meeresvogel
einen,meeresvogel,zu
meeresvogel,zu,verwandeln
zu,verwandeln,und
verwandeln,und,wenn
und,wenn,der
wenn,der,general
der,general,den
general,den,erhaltenen
den,erhaltenen,befehl
erhaltenen,befehl,nicht
befehl,nicht,ausführen
nicht,ausführen,würde
ausführen,würde,wer
würde,wer,von
wer,von,uns
von,uns,beiden
uns,beiden,wäre
beiden,wäre,dann
wäre,dann,im
dann,im,unrecht
im,unrecht,er
unrecht,er,oder
er,oder,ich
oder,ich,ihr
ich,ihr,wäret
ihr,wäret,es
wäret,es,antwortete
es,antwortete,der
antwortete,der,prinz
der,prinz,voller
prinz,voller,überzeugung
voller,überzeugung,genau
überzeugung,genau,man
genau,man,muss
man,muss,von
muss,von,jedem
von,jedem,das
jedem,das,verlangen
das,verlangen,was
verlangen,was,er
was,er,geben
er,geben,kann
geben,kann,erwiderte
kann,erwiderte,der
erwiderte,der,könig
der,könig,autorität
könig,autorität,erlangt
autorität,erlangt,man
erlangt,man,zuallererst
man,zuallererst,durch
zuallererst,durch,vernunft
durch,vernunft,befiehlst
vernunft,befiehlst,du
