first,second,third,fourth
zu,gießenbald,schon,nervte
gießenbald,schon,nervte,sie
schon,nervte,sie,ihn
nervte,sie,ihn,mit
sie,ihn,mit,ihrer
ihn,mit,ihrer,scheuen
mit,ihrer,scheuen,eitelkeit
ihrer,scheuen,eitelkeit,eines
scheuen,eitelkeit,eines,tages
eitelkeit,eines,tages,zum
eines,tages,zum,beispiel
tages,zum,beispiel,als
zum,beispiel,als,sie
beispiel,als,sie,dem
als,sie,dem,kleinen
sie,dem,kleinen,prinzen
dem,kleinen,prinzen,von
kleinen,prinzen,von,ihren
prinzen,von,ihren,vier
von,ihren,vier,dornen
ihren,vier,dornen,erzählte
vier,dornen,erzählte,hatte
dornen,erzählte,hatte,sie
erzählte,hatte,sie,zu
hatte,sie,zu,ihm
sie,zu,ihm,gesagt
zu,ihm,gesagt,die
ihm,gesagt,die,tiger
gesagt,die,tiger,sollen
die,tiger,sollen,nur
tiger,sollen,nur,kommen
sollen,nur,kommen,mit
nur,kommen,mit,ihren
kommen,mit,ihren,krallen
mit,ihren,krallen,auf
ihren,krallen,auf,meinem
krallen,auf,meinem,planeten
auf,meinem,planeten,gibt
meinem,planeten,gibt,es
planeten,gibt,es,keine
gibt,es,keine,tiger
es,keine,tiger,erwiderte
keine,tiger,erwiderte,der
tiger,erwiderte,der,kleine
erwiderte,der,kleine,prinz
der,kleine,prinz,und
kleine,prinz,und,außerdem
prinz,und,außerdem,fressen
und,außerdem,fressen,tiger
außerdem,fressen,tiger,kein
fressen,tiger,kein,gras
tiger,kein,gras,ich
kein,gras,ich,bin
gras,ich,bin,kein
ich,bin,kein,gras
bin,kein,gras,antwortete
kein,gras,antwortete,die
gras,antwortete,die,blume
antwortete,die,blume,sanft
die,blume,sanft,entschuldigen
blume,sanft,entschuldigen,sie
sanft,entschuldigen,sie,mich
entschuldigen,sie,mich,vor
sie,mich,vor,tigern
mich,vor,tigern,fürchte
vor,tigern,fürchte,ich
tigern,fürchte,ich,mich
fürchte,ich,mich,nicht
ich,mich,nicht,aber
mich,nicht,aber,jeder
nicht,aber,jeder,luftzug
aber,jeder,luftzug,ist
jeder,luftzug,ist,mir
luftzug,ist,mir,ein
ist,mir,ein,graus
mir,ein,graus,hätten
ein,graus,hätten,sie
graus,hätten,sie,nicht
hätten,sie,nicht,einen
sie,nicht,einen,wandschirm
nicht,einen,wandschirm,grauen
einen,wandschirm,grauen,vor
wandschirm,grauen,vor,luftzug
grauen,vor,luftzug,das
vor,luftzug,das,sind
luftzug,das,sind,schlechte
das,sind,schlechte,aussichten
sind,schlechte,aussichten,für
schlechte,aussichten,für,eine
aussichten,für,eine,blume
für,eine,blume,bemerkte
eine,blume,bemerkte,der
blume,bemerkte,der,kleine
bemerkte,der,kleine,prinz
der,kleine,prinz,diese
kleine,prinz,diese,blume
prinz,diese,blume,ist
diese,blume,ist,äußerst
blume,ist,äußerst,kompliziert
ist,äußerst,kompliziert,stellen
äußerst,kompliziert,stellen,sie
kompliziert,stellen,sie,mich
stellen,sie,mich,am
sie,mich,am,abend
mich,am,abend,einfach
am,abend,einfach,unter
abend,einfach,unter,eine
einfach,unter,eine,glasglocke
unter,eine,glasglocke,es
eine,glasglocke,es,ist
glasglocke,es,ist,sehr
es,ist,sehr,kalt
ist,sehr,kalt,bei
sehr,kalt,bei,ihnen
kalt,bei,ihnen,das
bei,ihnen,das,ist
ihnen,das,ist,schlecht
das,ist,schlecht,eingerichtet
ist,schlecht,eingerichtet,da
schlecht,eingerichtet,da,wo
eingerichtet,da,wo,ich
da,wo,ich,herkomme
wo,ich,herkomme,aber
ich,herkomme,aber,sie
herkomme,aber,sie,unterbrach
aber,sie,unterbrach,sich
sie,unterbrach,sich,sie
unterbrach,sich,sie,war
sich,sie,war,ja
sie,war,ja,als
war,ja,als,samen
ja,als,samen,gekommen
als,samen,gekommen,sie
samen,gekommen,sie,konnte
gekommen,sie,konnte,gar
sie,konnte,gar,nichts
konnte,gar,nichts,von
gar,nichts,von,den
nichts,von,den,anderen
von,den,anderen,welten
den,anderen,welten,kennen
anderen,welten,kennen,beschämt
welten,kennen,beschämt,dass
kennen,beschämt,dass,sie
beschämt,dass,sie,sich
dass,sie,sich,selbst
sie,sich,selbst,mit
sich,selbst,mit,einer
selbst,mit,einer,so
mit,einer,so,einfallslosen
einer,so,einfallslosen,lüge
so,einfallslosen,lüge,enttarnt
einfallslosen,lüge,enttarnt,hatte
lüge,enttarnt,hatte,hustete
enttarnt,hatte,hustete,sie
hatte,hustete,sie,zwei
hustete,sie,zwei,oder
sie,zwei,oder,drei
zwei,oder,drei,mal
oder,drei,mal,damit
drei,mal,damit,sich
mal,damit,sich,der
damit,sich,der,kleine
sich,der,kleine,prinz
der,kleine,prinz,schuldig
kleine,prinz,schuldig,fühlte
prinz,schuldig,fühlte,dieser
schuldig,fühlte,dieser,wandschirm
fühlte,dieser,wandschirm,ich
dieser,wandschirm,ich,wollte
wandschirm,ich,wollte,ihn
ich,wollte,ihn,eben
wollte,ihn,eben,holen
ihn,eben,holen,gehen
eben,holen,gehen,aber
holen,gehen,aber,sie
gehen,aber,sie,sprachen
aber,sie,sprachen,mit
sie,sprachen,mit,mir
sprachen,mit,mir,wieder
mit,mir,wieder,hatte
mir,wieder,hatte,sie
wieder,hatte,sie,sich
hatte,sie,sich,gezwungen
sie,sich,gezwungen,zu
sich,gezwungen,zu,husten
gezwungen,zu,husten,um
zu,husten,um,ihm
husten,um,ihm,ein
um,ihm,ein,schlechtes
ihm,ein,schlechtes,gewissen
ein,schlechtes,gewissen,zu
schlechtes,gewissen,zu,machen
gewissen,zu,machen,so
zu,machen,so,hatte
machen,so,hatte,der
so,hatte,der,kleine
hatte,der,kleine,prinz
der,kleine,prinz,obwohl
kleine,prinz,obwohl,er
prinz,obwohl,er,durch
obwohl,er,durch,seine
er,durch,seine,liebe
durch,seine,liebe,guten
seine,liebe,guten,willens
liebe,guten,willens,war
guten,willens,war,rasch
willens,war,rasch,an
war,rasch,an,ihr
rasch,an,ihr,gezweifelt
an,ihr,gezweifelt,er
ihr,gezweifelt,er,hatte
gezweifelt,er,hatte,unwichtige
er,hatte,unwichtige,worte
hatte,unwichtige,worte,allzu
unwichtige,worte,allzu,ernst
worte,allzu,ernst,genommen
allzu,ernst,genommen,und
ernst,genommen,und,war
genommen,und,war,dabei
und,war,dabei,sehr
war,dabei,sehr,unglücklich
dabei,sehr,unglücklich,geworden
sehr,unglücklich,geworden,ich
unglücklich,geworden,ich,hätte
geworden,ich,hätte,nicht
ich,hätte,nicht,auf
hätte,nicht,auf,sie
nicht,auf,sie,hören
auf,sie,hören,sollen
sie,hören,sollen,vertraute
hören,sollen,vertraute,er
sollen,vertraute,er,mir
vertraute,er,mir,eines
er,mir,eines,tages
mir,eines,tages,an
eines,tages,an,auf
tages,an,auf,blumen
an,auf,blumen,sollte
auf,blumen,sollte,man
blumen,sollte,man,niemals
sollte,man,niemals,hören
man,niemals,hören,man
niemals,hören,man,muss
hören,man,muss,sie
man,muss,sie,anschauen
muss,sie,anschauen,und
sie,anschauen,und,einatmen
anschauen,und,einatmen,meine
und,einatmen,meine,ließ
einatmen,meine,ließ,meinen
meine,ließ,meinen,planeten
ließ,meinen,planeten,duften
meinen,planeten,duften,aber
planeten,duften,aber,ich
duften,aber,ich,konnte
aber,ich,konnte,mich
ich,konnte,mich,nicht
konnte,mich,nicht,darüber
mich,nicht,darüber,freuen
nicht,darüber,freuen,diese
darüber,freuen,diese,geschichte
freuen,diese,geschichte,mit
diese,geschichte,mit,den
geschichte,mit,den,krallen
mit,den,krallen,die
den,krallen,die,mich
krallen,die,mich,derart
die,mich,derart,zornig
mich,derart,zornig,gemacht
derart,zornig,gemacht,hatte
zornig,gemacht,hatte,hätte
gemacht,hatte,hätte,mir
hatte,hätte,mir,eigentlich
hätte,mir,eigentlich,zu
mir,eigentlich,zu,herzen
eigentlich,zu,herzen,gehen
zu,herzen,gehen,sollen
herzen,gehen,sollen,und
gehen,sollen,und,weiter
sollen,und,weiter,vertraute
und,weiter,vertraute,er
weiter,vertraute,er,mir
vertraute,er,mir,an
er,mir,an,ich
mir,an,ich,war
an,ich,war,nicht
ich,war,nicht,in
war,nicht,in,der
nicht,in,der,lage
in,der,lage,es
der,lage,es,zu
lage,es,zu,verstehen
es,zu,verstehen,ich
zu,verstehen,ich,hätte
verstehen,ich,hätte,sie
ich,hätte,sie,nach
hätte,sie,nach,ihren
sie,nach,ihren,taten
nach,ihren,taten,und
ihren,taten,und,nicht
taten,und,nicht,nach
und,nicht,nach,ihren
nicht,nach,ihren,worten
nach,ihren,worten,beurteilen
ihren,worten,beurteilen,sollen
worten,beurteilen,sollen,sie
beurteilen,sollen,sie,spendete
sollen,sie,spendete,mir
sie,spendete,mir,duft
spendete,mir,duft,sie
mir,duft,sie,strahlte
duft,sie,strahlte,für
sie,strahlte,für,mich
strahlte,für,mich,niemals
für,mich,niemals,hätte
mich,niemals,hätte,ich
niemals,hätte,ich,fliehen
hätte,ich,fliehen,dürfen
ich,fliehen,dürfen,hinter
fliehen,dürfen,hinter,den
dürfen,hinter,den,armseligen
hinter,den,armseligen,boshaftigkeiten
den,armseligen,boshaftigkeiten,hätte
armseligen,boshaftigkeiten,hätte,ich
boshaftigkeiten,hätte,ich,ihre
hätte,ich,ihre,zärtlich
ich,ihre,zärtlich,keit
ihre,zärtlich,keit,erkennen
zärtlich,keit,erkennen,müssen
keit,erkennen,müssen,blumen
erkennen,müssen,blumen,sind
müssen,blumen,sind,voller
blumen,sind,voller,widersprüche
sind,voller,widersprüche,aber
voller,widersprüche,aber,ich
widersprüche,aber,ich,war
aber,ich,war,zu
ich,war,zu,jung
war,zu,jung,um
zu,jung,um,sie
jung,um,sie,lieben
um,sie,lieben,zu
sie,lieben,zu,können
lieben,zu,können,ich
zu,können,ich,glaube
können,ich,glaube,für
ich,glaube,für,seine
glaube,für,seine,flucht
für,seine,flucht,diente
seine,flucht,diente,ihm
flucht,diente,ihm,ein
diente,ihm,ein,schwarm
ihm,ein,schwarm,wilder
ein,schwarm,wilder,zugvögel
schwarm,wilder,zugvögel,am
wilder,zugvögel,am,tag
zugvögel,am,tag,seiner
am,tag,seiner,abreise
tag,seiner,abreise,räumte
seiner,abreise,räumte,er
abreise,räumte,er,seinen
räumte,er,seinen,planeten
er,seinen,planeten,auf
seinen,planeten,auf,die
planeten,auf,die,noch
auf,die,noch,aktiven
die,noch,aktiven,vulkane
noch,aktiven,vulkane,fegte
aktiven,vulkane,fegte,er
vulkane,fegte,er,sorgfältig
fegte,er,sorgfältig,sauber
er,sorgfältig,sauber,er
sorgfältig,sauber,er,besaß
sauber,er,besaß,zwei
er,besaß,zwei,aktive
besaß,zwei,aktive,vulkane
zwei,aktive,vulkane,die
aktive,vulkane,die,waren
vulkane,die,waren,nützlich
die,waren,nützlich,um
waren,nützlich,um,sich
nützlich,um,sich,sein
um,sich,sein,frühstück
sich,sein,frühstück,aufzuwärmen
sein,frühstück,aufzuwärmen,er
frühstück,aufzuwärmen,er,besaß
aufzuwärmen,er,besaß,auch
er,besaß,auch,einen
besaß,auch,einen,erloschenen
auch,einen,erloschenen,vulkan
einen,erloschenen,vulkan,aber
erloschenen,vulkan,aber,er
vulkan,aber,er,sagte
aber,er,sagte,sich
er,sagte,sich,man
sagte,sich,man,weiß
sich,man,weiß,ja
man,weiß,ja,nie
weiß,ja,nie,so
ja,nie,so,fegte
nie,so,fegte,er
so,fegte,er,auch
fegte,er,auch,den
er,auch,den,erloschenen
auch,den,erloschenen,vulkan
den,erloschenen,vulkan,wenn
erloschenen,vulkan,wenn,vulkane
vulkan,wenn,vulkane,sauber
wenn,vulkane,sauber,gefegt
vulkane,sauber,gefegt,sind
sauber,gefegt,sind,brennen
gefegt,sind,brennen,sie
sind,brennen,sie,nur
brennen,sie,nur,ganz
sie,nur,ganz,leicht
nur,ganz,leicht,und
ganz,leicht,und,gleichmäßig
leicht,und,gleichmäßig,ohne
und,gleichmäßig,ohne,auszubrechen
gleichmäßig,ohne,auszubrechen,vulkanische
ohne,auszubrechen,vulkanische,ausbrüche
auszubrechen,vulkanische,ausbrüche,sind
vulkanische,ausbrüche,sind,so
ausbrüche,sind,so,wie
sind,so,wie,kaminfeuer
so,wie,kaminfeuer,wir
wie,kaminfeuer,wir,auf
kaminfeuer,wir,auf,der
wir,auf,der,erde
auf,der,erde,sind
der,erde,sind,viel
erde,sind,viel,zu
sind,viel,zu,klein
viel,zu,klein,um
zu,klein,um,unsere
klein,um,unsere,vulkane
um,unsere,vulkane,abzufegen
unsere,vulkane,abzufegen,darum
vulkane,abzufegen,darum,bereiten
abzufegen,darum,bereiten,sie
darum,bereiten,sie,uns
bereiten,sie,uns,so
sie,uns,so,viele
uns,so,viele,sorgen
so,viele,sorgen,auch
viele,sorgen,auch,die
sorgen,auch,die,letzten
auch,die,letzten,triebe
die,letzten,triebe,der
letzten,triebe,der,affenbrotbäume
triebe,der,affenbrotbäume,riss
der,affenbrotbäume,riss,der
affenbrotbäume,riss,der,kleine
riss,der,kleine,prinz
der,kleine,prinz,betrübt
kleine,prinz,betrübt,heraus
prinz,betrübt,heraus,er
betrübt,heraus,er,dachte
heraus,er,dachte,er
er,dachte,er,würde
dachte,er,würde,nie
er,würde,nie,wiederkommen
würde,nie,wiederkommen,aber
nie,wiederkommen,aber,all
wiederkommen,aber,all,diese
aber,all,diese,vertrauten
all,diese,vertrauten,handgriffe
diese,vertrauten,handgriffe,erschienen
vertrauten,handgriffe,erschienen,ihm
handgriffe,erschienen,ihm,an
erschienen,ihm,an,diesem
ihm,an,diesem,morgen
an,diesem,morgen,sehr
diesem,morgen,sehr,angenehm
morgen,sehr,angenehm,und
sehr,angenehm,und,als
angenehm,und,als,er
und,als,er,die
als,er,die,blume
er,die,blume,zum
die,blume,zum,letzten
blume,zum,letzten,mal
zum,letzten,mal,goss
letzten,mal,goss,und
mal,goss,und,sie
goss,und,sie,unter
und,sie,unter,ihre
sie,unter,ihre,schützende
unter,ihre,schützende,glasglocke
ihre,schützende,glasglocke,stellen
schützende,glasglocke,stellen,wollte
glasglocke,stellen,wollte,da
stellen,wollte,da,überkam
wollte,da,überkam,ihn
da,überkam,ihn,das
überkam,ihn,das,bedürfnis
ihn,das,bedürfnis,zu
das,bedürfnis,zu,weinen
bedürfnis,zu,weinen,adieu
zu,weinen,adieu,sagte
weinen,adieu,sagte,er
adieu,sagte,er,zu
sagte,er,zu,der
er,zu,der,blume
zu,der,blume,aber
der,blume,aber,sie
blume,aber,sie,antwortete
aber,sie,antwortete,ihm
sie,antwortete,ihm,nicht
antwortete,ihm,nicht,adieu
ihm,nicht,adieu,wiederholte
nicht,adieu,wiederholte,er
adieu,wiederholte,er,die
wiederholte,er,die,blume
er,die,blume,musste
die,blume,musste,husten
blume,musste,husten,aber
musste,husten,aber,das
husten,aber,das,lag
aber,das,lag,nicht
das,lag,nicht,an
lag,nicht,an,ihrer
nicht,an,ihrer,erkältung
an,ihrer,erkältung,ich
ihrer,erkältung,ich,bin
erkältung,ich,bin,dumm
ich,bin,dumm,gewesen
bin,dumm,gewesen,sagte
dumm,gewesen,sagte,sie
gewesen,sagte,sie,schließlich
sagte,sie,schließlich,bitte
sie,schließlich,bitte,verzeih
schließlich,bitte,verzeih,mir
bitte,verzeih,mir,versuche
verzeih,mir,versuche,glücklich
mir,versuche,glücklich,zu
versuche,glücklich,zu,sein
glücklich,zu,sein,er
zu,sein,er,war
sein,er,war,überrascht
er,war,überrascht,darüber
war,überrascht,darüber,keine
überrascht,darüber,keine,vorwürfe
darüber,keine,vorwürfe,zu
keine,vorwürfe,zu,hören
vorwürfe,zu,hören,er
zu,hören,er,blieb
hören,er,blieb,ganz
er,blieb,ganz,erstaunt
blieb,ganz,erstaunt,stehen
ganz,erstaunt,stehen,die
erstaunt,stehen,die,glasglocke
stehen,die,glasglocke,in
die,glasglocke,in,den
glasglocke,in,den,händen
in,den,händen,diese
den,händen,diese,ruhige
händen,diese,ruhige,liebenswürdigkeit
diese,ruhige,liebenswürdigkeit,verstand
ruhige,liebenswürdigkeit,verstand,er
liebenswürdigkeit,verstand,er,nicht
verstand,er,nicht,aber
er,nicht,aber,ja
nicht,aber,ja,ich
aber,ja,ich,liebe
ja,ich,liebe,dich
ich,liebe,dich,sagte
liebe,dich,sagte,die
dich,sagte,die,blume
sagte,die,blume,ich
die,blume,ich,bin
blume,ich,bin,schuld
ich,bin,schuld,dass
bin,schuld,dass,du
schuld,dass,du,es
dass,du,es,nicht
du,es,nicht,bemerkt
es,nicht,bemerkt,hast
nicht,bemerkt,hast,es
bemerkt,hast,es,ist
hast,es,ist,nicht
es,ist,nicht,wichtig
ist,nicht,wichtig,du
nicht,wichtig,du,warst
wichtig,du,warst,ebenso
du,warst,ebenso,dumm
warst,ebenso,dumm,wie
ebenso,dumm,wie,ich
dumm,wie,ich,versuche
wie,ich,versuche,glücklich
ich,versuche,glücklich,zu
versuche,glücklich,zu,sein
glücklich,zu,sein,leg
zu,sein,leg,die
sein,leg,die,glasglocke
leg,die,glasglocke,weg
die,glasglocke,weg,ich
glasglocke,weg,ich,möchte
weg,ich,möchte,sie
ich,möchte,sie,nicht
möchte,sie,nicht,mehr
sie,nicht,mehr,aber
nicht,mehr,aber,der
mehr,aber,der,wind
aber,der,wind,so
der,wind,so,erkältet
wind,so,erkältet,bin
so,erkältet,bin,ich
erkältet,bin,ich,gar
bin,ich,gar,nicht
ich,gar,nicht,der
gar,nicht,der,nächtliche
nicht,der,nächtliche,wind
der,nächtliche,wind,wird
nächtliche,wind,wird,mir
wind,wird,mir,gut
wird,mir,gut,tun
mir,gut,tun,ich
gut,tun,ich,bin
tun,ich,bin,eine
ich,bin,eine,blume
bin,eine,blume,aber
eine,blume,aber,die
blume,aber,die,insekten
aber,die,insekten,ich
die,insekten,ich,muss
insekten,ich,muss,schon
ich,muss,schon,zwei
muss,schon,zwei,oder
schon,zwei,oder,drei
zwei,oder,drei,raupen
oder,drei,raupen,aushalten
drei,raupen,aushalten,wenn
raupen,aushalten,wenn,ich
aushalten,wenn,ich,die
wenn,ich,die,schmetterlinge
ich,die,schmetterlinge,kennenlernen
die,schmetterlinge,kennenlernen,will
schmetterlinge,kennenlernen,will,sie
kennenlernen,will,sie,sollen
will,sie,sollen,so
sie,sollen,so,wunderschön
sollen,so,wunderschön,sein
so,wunderschön,sein,wer
wunderschön,sein,wer,wird
sein,wer,wird,mich
wer,wird,mich,ansonsten
wird,mich,ansonsten,besuchen
mich,ansonsten,besuchen,du
ansonsten,besuchen,du,wirst
besuchen,du,wirst,weit
du,wirst,weit,fort
wirst,weit,fort,sein
weit,fort,sein,was
fort,sein,was,die
sein,was,die,großen
was,die,großen,tiere
die,großen,tiere,angeht
großen,tiere,angeht,habe
tiere,angeht,habe,ich
angeht,habe,ich,keine
habe,ich,keine,angst
ich,keine,angst,ich
keine,angst,ich,habe
angst,ich,habe,meine
ich,habe,meine,dornen
habe,meine,dornen,leichtgläubig
meine,dornen,leichtgläubig,zeigte
dornen,leichtgläubig,zeigte,sie
leichtgläubig,zeigte,sie,ihre
zeigte,sie,ihre,vier
sie,ihre,vier,dornen
ihre,vier,dornen,dann
vier,dornen,dann,fügte
dornen,dann,fügte,sie
dann,fügte,sie,hinzu
fügte,sie,hinzu,trödel
sie,hinzu,trödel,nicht
hinzu,trödel,nicht,so
trödel,nicht,so,rum
nicht,so,rum,das
so,rum,das,ist
rum,das,ist,ärgerlich
das,ist,ärgerlich,du
ist,ärgerlich,du,hast
ärgerlich,du,hast,entschieden
du,hast,entschieden,fortzugehen
hast,entschieden,fortzugehen,mach
entschieden,fortzugehen,mach,dich
fortzugehen,mach,dich,auf
mach,dich,auf,den
dich,auf,den,weg
auf,den,weg,sie
den,weg,sie,wollte
weg,sie,wollte,nicht
sie,wollte,nicht,dass
wollte,nicht,dass,er
nicht,dass,er,sie
dass,er,sie,weinen
er,sie,weinen,sieht
sie,weinen,sieht,sie
weinen,sieht,sie,war
sieht,sie,war,eine
sie,war,eine,so
war,eine,so,stolze
eine,so,stolze,blume
so,stolze,blume,er
stolze,blume,er,befand
blume,er,befand,sich
er,befand,sich,in
befand,sich,in,der
sich,in,der,gegend
in,der,gegend,der
der,gegend,der,asteroiden
gegend,der,asteroiden,und
der,asteroiden,und,so
asteroiden,und,so,begann
und,so,begann,er
so,begann,er,ihnen
begann,er,ihnen,einen
er,ihnen,einen,besuch
ihnen,einen,besuch,abzustatten
einen,besuch,abzustatten,um
besuch,abzustatten,um,sich
abzustatten,um,sich,zu
um,sich,zu,beschäftigen
sich,zu,beschäftigen,und
zu,beschäftigen,und,sich
beschäftigen,und,sich,schlau
und,sich,schlau,zu
sich,schlau,zu,machen
schlau,zu,machen,auf
zu,machen,auf,dem
machen,auf,dem,ersten
auf,dem,ersten,lebte
dem,ersten,lebte,ein
ersten,lebte,ein,könig
lebte,ein,könig,der
ein,könig,der,könig
könig,der,könig,saß
der,könig,saß,in
könig,saß,in,purpur
saß,in,purpur,und
in,purpur,und,hermelin
purpur,und,hermelin,gekleidet
und,hermelin,gekleidet,auf
hermelin,gekleidet,auf,einem
gekleidet,auf,einem,thron
auf,einem,thron,der
einem,thron,der,schlicht
thron,der,schlicht,aber
der,schlicht,aber,majestätisch
schlicht,aber,majestätisch,war
aber,majestätisch,war,ah
majestätisch,war,ah,ein
war,ah,ein,untertan
ah,ein,untertan,freute
ein,untertan,freute,er
untertan,freute,er,sich
freute,er,sich,als
er,sich,als,er
sich,als,er,den
als,er,den,kleinen
er,den,kleinen,prinzen
den,kleinen,prinzen,sah
kleinen,prinzen,sah,und
prinzen,sah,und,der
sah,und,der,kleine
und,der,kleine,prinz
der,kleine,prinz,fragte
kleine,prinz,fragte,wie
prinz,fragte,wie,kommt
fragte,wie,kommt,es
wie,kommt,es,dass
kommt,es,dass,sie
es,dass,sie,mich
dass,sie,mich,kennen
sie,mich,kennen,sie
mich,kennen,sie,haben
kennen,sie,haben,mich
sie,haben,mich,noch
haben,mich,noch,nie
mich,noch,nie,zuvor
noch,nie,zuvor,gesehen
nie,zuvor,gesehen,er
zuvor,gesehen,er,wusste
gesehen,er,wusste,nicht
er,wusste,nicht,dass
wusste,nicht,dass,die
nicht,dass,die,welt
dass,die,welt,für
die,welt,für,könige
welt,für,könige,sehr
für,könige,sehr,einfach
könige,sehr,einfach,ist
sehr,einfach,ist,alle
einfach,ist,alle,menschen
ist,alle,menschen,sind
alle,menschen,sind,untertanen
menschen,sind,untertanen,komm
sind,untertanen,komm,mal
untertanen,komm,mal,näher
komm,mal,näher,heran
mal,näher,heran,damit
näher,heran,damit,ich
heran,damit,ich,dich
damit,ich,dich,besser
ich,dich,besser,sehen
dich,besser,sehen,kann
besser,sehen,kann,sagte
sehen,kann,sagte,der
kann,sagte,der,könig
sagte,der,könig,ganz
der,könig,ganz,stolz
könig,ganz,stolz,darauf
ganz,stolz,darauf,jemandes
stolz,darauf,jemandes,könig
darauf,jemandes,könig,sein
jemandes,könig,sein,zu
könig,sein,zu,können
sein,zu,können,der
zu,können,der,kleine
können,der,kleine,prinz
der,kleine,prinz,schaute
kleine,prinz,schaute,sich
prinz,schaute,sich,nach
schaute,sich,nach,einer
sich,nach,einer,sitzgelegenheit
nach,einer,sitzgelegenheit,um
einer,sitzgelegenheit,um,doch
sitzgelegenheit,um,doch,der
um,doch,der,herrliche
doch,der,herrliche,hermelinmantel
der,herrliche,hermelinmantel,nahm
herrliche,hermelinmantel,nahm,den
hermelinmantel,nahm,den,ganzen
nahm,den,ganzen,planten
den,ganzen,planten,ein
ganzen,planten,ein,so
planten,ein,so,blieb
ein,so,blieb,er
so,blieb,er,stehen
blieb,er,stehen,doch
er,stehen,doch,vor
stehen,doch,vor,müdigkeit
doch,vor,müdigkeit,musste
vor,müdigkeit,musste,er
müdigkeit,musste,er,gähnen
musste,er,gähnen,es
er,gähnen,es,gehört
gähnen,es,gehört,sich
es,gehört,sich,nicht
gehört,sich,nicht,in
sich,nicht,in,gegenwart
nicht,in,gegenwart,eines
in,gegenwart,eines,königs
gegenwart,eines,königs,zu
eines,königs,zu,gähnen
königs,zu,gähnen,ermahnte
zu,gähnen,ermahnte,ihn
gähnen,ermahnte,ihn,der
ermahnte,ihn,der,monarch
ihn,der,monarch,ich
der,monarch,ich,untersage
monarch,ich,untersage,es
ich,untersage,es,dir
untersage,es,dir,ich
es,dir,ich,kann
dir,ich,kann,nichts
ich,kann,nichts,dagegen
kann,nichts,dagegen,machen
nichts,dagegen,machen,antwortete
dagegen,machen,antwortete,der
machen,antwortete,der,kleine
antwortete,der,kleine,prinz
der,kleine,prinz,ganz
kleine,prinz,ganz,verwirrt
prinz,ganz,verwirrt,ich
ganz,verwirrt,ich,habe
verwirrt,ich,habe,eine
ich,habe,eine,lange
habe,eine,lange,reise
eine,lange,reise,hinter
lange,reise,hinter,mir
reise,hinter,mir,und
hinter,mir,und,kam
mir,und,kam,nicht
und,kam,nicht,zum
kam,nicht,zum,schlafen
nicht,zum,schlafen,dann
zum,schlafen,dann,befehle
schlafen,dann,befehle,ich
dann,befehle,ich,dir
befehle,ich,dir,zu
ich,dir,zu,gähnen
dir,zu,gähnen,sagte
zu,gähnen,sagte,der
gähnen,sagte,der,könig
